"filename", "language", "PHP", "JavaScript", "XML", "PostCSS", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\Plugin\UpdateChecker.php", "PHP", 176, 0, 0, 0, 0, 0, 201, 49, 426
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\PucFactory.php", "PHP", 207, 0, 0, 0, 0, 0, 115, 41, 363
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\Scheduler.php", "PHP", 154, 0, 0, 0, 0, 0, 91, 32, 277
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\StateStore.php", "PHP", 114, 0, 0, 0, 0, 0, 61, 34, 209
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\Theme\Package.php", "PHP", 45, 0, 0, 0, 0, 0, 13, 12, 70
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\Theme\Update.php", "PHP", 50, 0, 0, 0, 0, 0, 24, 15, 89
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\Theme\UpdateChecker.php", "PHP", 71, 0, 0, 0, 0, 0, 67, 22, 160
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\Update.php", "PHP", 21, 0, 0, 0, 0, 0, 9, 9, 39
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\UpdateChecker.php", "PHP", 472, 0, 0, 0, 0, 0, 398, 134, 1004
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\UpgraderStatus.php", "PHP", 103, 0, 0, 0, 0, 0, 79, 19, 201
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\Utils.php", "PHP", 37, 0, 0, 0, 0, 0, 24, 10, 71
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\Vcs\Api.php", "PHP", 153, 0, 0, 0, 0, 0, 155, 46, 354
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\Vcs\BaseChecker.php", "PHP", 9, 0, 0, 0, 0, 0, 15, 6, 30
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\Vcs\BitBucketApi.php", "PHP", 170, 0, 0, 0, 0, 0, 65, 38, 273
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\Vcs\GitHubApi.php", "PHP", 231, 0, 0, 0, 0, 0, 152, 55, 438
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\Vcs\GitLabApi.php", "PHP", 236, 0, 0, 0, 0, 0, 96, 61, 393
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\Vcs\PluginUpdateChecker.php", "PHP", 164, 0, 0, 0, 0, 0, 61, 36, 261
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\Vcs\Reference.php", "PHP", 19, 0, 0, 0, 0, 0, 24, 9, 52
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\Vcs\ThemeUpdateChecker.php", "PHP", 54, 0, 0, 0, 0, 0, 14, 16, 84
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\Puc\v5p0\Vcs\VcsCheckerMethods.php", "PHP", 32, 0, 0, 0, 0, 0, 15, 12, 59
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\README.md", "Markdown", 0, 0, 0, 0, 0, 296, 3, 85, 384
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\composer.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 1, 24
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\css\puc-debug-bar.css", "PostCSS", 0, 0, 0, 55, 0, 0, 1, 15, 71
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\examples\plugin.json", "JSON", 0, 0, 0, 0, 44, 0, 0, 8, 52
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\examples\theme.json", "JSON", 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\js\debug-bar.js", "JavaScript", 0, 39, 0, 0, 0, 0, 5, 8, 52
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\load-v5p0.php", "PHP", 23, 0, 0, 0, 0, 0, 3, 9, 35
"c:\Users\b.torabi\Documents\sepehrelectric-website\app\public\wp-content\plugins\salesking\includes\assets\lib\plugin-update-checker\plugin-update-checker.php", "PHP", 2, 0, 0, 0, 0, 0, 7, 1, 10
